employee_id,department,position,salary,years_experience,performance_score,hiring_date,attrition_risk,status
EMP0001,IT,Junior,89641.32,4.5,82.6,2015-01-01 00:00:00.000000000,0.798,High Risk
EMP0002,Finance,Director,122404.02,0.9,87.6,2015-01-08 07:38:50.260521042,0.822,High Risk
EMP0003,Operations,Mid,71404.47,2.5,94.9,2015-01-15 15:17:40.521042084,0.858,High Risk
EMP0004,Finance,Mid,78411.88,17.4,85.5,2015-01-22 22:56:30.781563126,0.917,High Risk
EMP0005,Finance,Director,57164.52,1.5,90.4,2015-01-30 06:35:21.042084168,0.431,Stable
EMP0006,Marketing,Manager,92649.86,5.3,66.4,2015-02-06 14:14:11.302605210,0.319,Stable
EMP0007,Operations,Mid,65445.64,2.0,78.5,2015-02-13 21:53:01.563126253,0.582,Stable
EMP0008,Operations,Manager,65428.29,7.4,60.4,2015-02-21 05:31:51.823647295,0.371,Stable
EMP0009,Operations,Mid,91304.49,0.7,69.9,2015-02-28 13:10:42.084168337,0.601,Stable
EMP0010,Finance,Mid,106047.63,17.5,89.1,2015-03-07 20:49:32.344689379,0.706,High Risk
EMP0011,IT,Senior,40000.0,3.0,99.7,2015-03-15 04:28:22.605210421,0.688,Stable
EMP0012,Operations,Mid,85823.35,1.3,64.0,2015-03-22 12:07:12.865731463,0.375,Stable
EMP0013,HR,Junior,66893.9,0.4,76.1,2015-03-29 19:46:03.126252506,0.167,Stable
EMP0014,Finance,Director,103428.51,0.9,92.0,2015-04-06 03:24:53.386773548,0.431,Stable
EMP0015,Marketing,Director,67496.32,3.7,68.2,2015-04-13 11:03:43.647294590,0.143,Stable
EMP0016,IT,Manager,114031.57,2.1,82.2,2015-04-20 18:42:33.907815632,0.89,High Risk
EMP0017,HR,Mid,54707.61,8.8,89.3,2015-04-28 02:21:24.168336674,0.346,Stable
EMP0018,HR,Junior,40000.0,2.8,84.6,2015-05-05 10:00:14.428857716,0.154,Stable
EMP0019,Marketing,Manager,106547.79,1.4,67.5,2015-05-12 17:39:04.689378758,0.025,Stable
EMP0020,IT,Senior,49693.65,4.8,74.2,2015-05-20 01:17:54.949899800,0.646,Stable
EMP0021,Finance,Manager,40000.0,6.1,91.4,2015-05-27 08:56:45.210420842,0.637,Stable
EMP0022,Sales,Manager,75481.6,0.9,82.2,2015-06-03 16:35:35.470941884,0.341,Stable
EMP0023,IT,Mid,67824.64,0.9,60.2,2015-06-11 00:14:25.731462926,0.072,Stable
EMP0024,Marketing,Senior,99693.15,0.2,90.4,2015-06-18 07:53:15.991983968,0.41,Stable
EMP0025,HR,Manager,101772.32,6.7,61.4,2015-06-25 15:32:06.252505012,0.311,Stable
EMP0026,Finance,Junior,77868.61,5.5,89.8,2015-07-02 23:10:56.513026054,0.677,Stable
EMP0027,IT,Junior,48455.52,3.2,68.1,2015-07-10 06:49:46.773547096,0.606,Stable
EMP0028,Sales,Director,83608.24,9.3,98.3,2015-07-17 14:28:37.034068138,0.365,Stable
EMP0029,Sales,Senior,79955.83,8.2,74.7,2015-07-24 22:07:27.294589180,0.218,Stable
EMP0030,Operations,Senior,92068.1,4.4,73.1,2015-08-01 05:46:17.555110220,0.988,High Risk
EMP0031,Operations,Director,48755.8,10.1,66.0,2015-08-08 13:25:07.815631264,0.454,Stable
EMP0032,Marketing,Manager,62988.81,1.2,72.2,2015-08-15 21:03:58.076152304,0.688,Stable
EMP0033,IT,Senior,90281.34,0.6,95.1,2015-08-23 04:42:48.336673348,0.141,Stable
EMP0034,IT,Junior,112419.81,1.6,99.9,2015-08-30 12:21:38.597194392,0.486,Stable
EMP0035,HR,Junior,103977.66,0.3,74.7,2015-09-06 20:00:28.857715432,0.028,Stable
EMP0036,HR,Mid,77461.65,3.8,77.9,2015-09-14 03:39:19.118236476,0.505,Stable
EMP0037,HR,Senior,60378.15,13.8,88.9,2015-09-21 11:18:09.378757516,0.964,High Risk
EMP0038,Operations,Manager,87114.62,0.2,95.4,2015-09-28 18:56:59.639278560,0.384,Stable
EMP0039,IT,Director,42258.29,0.7,83.7,2015-10-06 02:35:49.899799600,0.039,Stable
EMP0040,IT,Director,50489.96,3.0,75.7,2015-10-13 10:14:40.160320644,0.031,Stable
EMP0041,Sales,Manager,120293.14,13.6,76.5,2015-10-20 17:53:30.420841684,0.388,Stable
EMP0042,Operations,Mid,87061.03,1.9,87.8,2015-10-28 01:32:20.681362728,0.16,Stable
EMP0043,Finance,Director,64574.2,3.5,60.1,2015-11-04 09:11:10.941883768,0.023,Stable
EMP0044,Operations,Senior,99874.16,0.2,84.8,2015-11-11 16:50:01.202404812,0.756,High Risk
EMP0045,Finance,Mid,113609.25,0.8,74.2,2015-11-19 00:28:51.462925852,0.459,Stable
EMP0046,Sales,Senior,61660.87,21.6,91.8,2015-11-26 08:07:41.723446896,0.289,Stable
EMP0047,Marketing,Junior,62177.76,16.8,63.7,2015-12-03 15:46:31.983967936,0.9,High Risk
EMP0048,IT,Mid,58420.63,0.0,83.5,2015-12-10 23:25:22.244488980,0.116,Stable
EMP0049,Sales,Director,103915.51,15.2,79.2,2015-12-18 07:04:12.505010024,0.956,High Risk
EMP0050,IT,Mid,104206.72,5.1,85.7,2015-12-25 14:43:02.765531064,0.314,Stable
EMP0051,HR,Mid,116577.1,10.1,62.6,2016-01-01 22:21:53.026052108,0.888,High Risk
EMP0052,Marketing,Mid,105258.09,3.0,83.2,2016-01-09 06:00:43.286573148,0.603,Stable
EMP0053,Marketing,Mid,40000.0,3.6,82.5,2016-01-16 13:39:33.547094192,0.827,High Risk
EMP0054,Sales,Senior,83428.93,3.4,82.4,2016-01-23 21:18:23.807615232,0.984,High Risk
EMP0055,Marketing,Junior,43248.44,5.5,84.1,2016-01-31 04:57:14.068136276,0.288,Stable
EMP0056,Finance,Manager,59612.57,0.8,87.1,2016-02-07 12:36:04.328657316,0.961,High Risk
EMP0057,Marketing,Mid,80117.83,0.2,92.2,2016-02-14 20:14:54.589178360,0.389,Stable
EMP0058,IT,Director,100066.96,1.8,70.8,2016-02-22 03:53:44.849699400,0.386,Stable
EMP0059,IT,Mid,48274.7,6.1,93.0,2016-02-29 11:32:35.110220440,0.34,Stable
EMP0060,IT,Director,40000.0,1.1,79.9,2016-03-07 19:11:25.370741488,0.541,Stable
EMP0061,IT,Senior,80415.93,5.6,63.1,2016-03-15 02:50:15.631262528,0.154,Stable
EMP0062,Finance,Director,154307.15,17.5,62.3,2016-03-22 10:29:05.891783568,0.554,Stable
EMP0063,Operations,Manager,68914.61,0.5,73.4,2016-03-29 18:07:56.152304608,0.542,Stable
EMP0064,HR,Junior,76407.46,5.6,91.4,2016-04-06 01:46:46.412825656,0.762,High Risk
EMP0065,Sales,Director,128464.91,2.9,88.3,2016-04-13 09:25:36.673346696,0.834,High Risk
EMP0066,IT,Director,92708.24,10.1,91.5,2016-04-20 17:04:26.933867736,0.44,Stable
EMP0067,Marketing,Junior,81505.83,1.0,80.7,2016-04-28 00:43:17.194388784,0.302,Stable
EMP0068,IT,Manager,88263.5,5.9,77.6,2016-05-05 08:22:07.454909824,0.259,Stable
EMP0069,Marketing,Mid,82507.32,9.1,65.9,2016-05-12 16:00:57.715430864,0.195,Stable
EMP0070,HR,Director,40807.37,14.5,73.1,2016-05-19 23:39:47.975951904,0.058,Stable
EMP0071,HR,Junior,40000.0,5.7,77.4,2016-05-27 07:18:38.236472952,0.342,Stable
EMP0072,HR,Senior,131604.84,3.4,63.5,2016-06-03 14:57:28.496993992,0.27,Stable
EMP0073,Marketing,Junior,80516.5,4.8,68.8,2016-06-10 22:36:18.757515032,0.966,High Risk
EMP0074,IT,Senior,78002.86,10.2,83.9,2016-06-18 06:15:09.018036072,0.558,Stable
EMP0075,HR,Manager,72293.17,4.2,89.4,2016-06-25 13:53:59.278557120,0.347,Stable
EMP0076,Finance,Mid,98432.2,0.2,99.9,2016-07-02 21:32:49.539078160,0.58,Stable
EMP0077,Marketing,Junior,151160.73,13.4,97.3,2016-07-10 05:11:39.799599200,0.139,Stable
EMP0078,Marketing,Director,90718.58,5.8,85.7,2016-07-17 12:50:30.060120240,0.444,Stable
EMP0079,IT,Manager,57357.4,5.6,76.8,2016-07-24 20:29:20.320641288,0.626,Stable
EMP0080,Marketing,Junior,70997.97,1.2,85.4,2016-08-01 04:08:10.581162328,0.489,Stable
EMP0081,Marketing,Director,107129.89,5.4,91.4,2016-08-08 11:47:00.841683368,0.402,Stable
EMP0082,HR,Junior,57515.98,2.5,64.7,2016-08-15 19:25:51.102204416,0.994,High Risk
EMP0083,IT,Senior,100567.39,5.3,76.4,2016-08-23 03:04:41.362725456,0.88,High Risk
EMP0084,HR,Junior,40000.0,0.6,93.6,2016-08-30 10:43:31.623246496,0.623,Stable
EMP0085,HR,Junior,68103.61,5.4,75.4,2016-09-06 18:22:21.883767536,0.569,Stable
EMP0086,IT,Junior,93844.2,37.2,82.9,2016-09-14 02:01:12.144288584,0.621,Stable
EMP0087,Sales,Manager,113103.77,0.2,83.5,2016-09-21 09:40:02.404809624,0.201,Stable
EMP0088,HR,Junior,50445.77,18.9,67.4,2016-09-28 17:18:52.665330664,0.395,Stable
EMP0089,Finance,Director,40000.0,2.6,74.5,2016-10-06 00:57:42.925851704,0.039,Stable
EMP0090,Finance,Senior,67177.95,10.2,73.4,2016-10-13 08:36:33.186372752,0.476,Stable
EMP0091,Marketing,Senior,41237.43,7.6,61.0,2016-10-20 16:15:23.446893792,0.543,Stable
EMP0092,Finance,Junior,70528.9,4.2,61.0,2016-10-27 23:54:13.707414832,0.228,Stable
EMP0093,Marketing,Manager,74800.4,6.7,93.3,2016-11-04 07:33:03.967935872,0.964,High Risk
EMP0094,Sales,Manager,40000.0,10.5,70.9,2016-11-11 15:11:54.228456920,0.909,High Risk
EMP0095,IT,Director,99133.17,2.6,80.7,2016-11-18 22:50:44.488977960,0.722,High Risk
EMP0096,IT,Junior,70283.58,2.0,71.9,2016-11-26 06:29:34.749499000,0.533,Stable
EMP0097,IT,Senior,107413.8,5.5,97.6,2016-12-03 14:08:25.010020048,0.87,High Risk
EMP0098,Finance,Manager,40000.0,8.2,70.4,2016-12-10 21:47:15.270541088,0.131,Stable
EMP0099,Sales,Junior,44484.23,7.2,77.2,2016-12-18 05:26:05.531062128,0.791,High Risk
EMP0100,Finance,Manager,90500.08,8.0,94.9,2016-12-25 13:04:55.791583168,0.125,Stable
EMP0101,Finance,Manager,51026.68,2.9,93.7,2017-01-01 20:43:46.052104216,0.794,High Risk
EMP0102,Sales,Senior,70063.93,8.5,67.4,2017-01-09 04:22:36.312625256,0.276,Stable
EMP0103,Sales,Mid,75020.97,0.6,92.1,2017-01-16 12:01:26.573146296,0.877,High Risk
EMP0104,Sales,Director,79747.68,3.9,78.3,2017-01-23 19:40:16.833667336,0.944,High Risk
EMP0105,Sales,Director,54673.01,0.0,79.3,2017-01-31 03:19:07.094188384,0.149,Stable
EMP0106,IT,Senior,79478.6,2.0,65.3,2017-02-07 10:57:57.354709424,0.463,Stable
EMP0107,Operations,Manager,51523.69,2.3,63.2,2017-02-14 18:36:47.615230464,0.981,High Risk
EMP0108,Operations,Junior,95228.41,2.5,89.1,2017-02-22 02:15:37.875751504,0.483,Stable
EMP0109,Sales,Manager,71554.68,5.9,79.9,2017-03-01 09:54:28.136272552,0.864,High Risk
EMP0110,Operations,Senior,79651.1,2.5,77.5,2017-03-08 17:33:18.396793592,0.589,Stable
EMP0111,Operations,Director,152097.81,3.0,89.2,2017-03-16 01:12:08.657314632,0.375,Stable
EMP0112,Sales,Manager,41786.87,1.4,90.6,2017-03-23 08:50:58.917835672,0.286,Stable
EMP0113,Operations,Director,116657.47,2.3,66.4,2017-03-30 16:29:49.178356720,0.203,Stable
EMP0114,Finance,Junior,40000.0,1.3,84.4,2017-04-07 00:08:39.438877760,0.762,High Risk
EMP0115,Marketing,Director,40000.0,0.4,65.4,2017-04-14 07:47:29.699398800,0.387,Stable
EMP0116,Marketing,Director,40000.0,4.6,90.1,2017-04-21 15:26:19.959919840,0.511,Stable
EMP0117,Sales,Mid,40000.0,5.5,86.3,2017-04-28 23:05:10.220440880,0.492,Stable
EMP0118,IT,Mid,81111.05,4.8,98.3,2017-05-06 06:44:00.480961936,0.577,Stable
EMP0119,Sales,Mid,83695.27,3.1,62.8,2017-05-13 14:22:50.741482976,0.866,High Risk
EMP0120,IT,Director,67355.36,2.4,62.3,2017-05-20 22:01:41.002004016,0.981,High Risk
EMP0121,Marketing,Senior,70503.66,10.0,71.3,2017-05-28 05:40:31.262525056,0.408,Stable
EMP0122,Sales,Director,90832.94,3.7,70.5,2017-06-04 13:19:21.523046096,0.828,High Risk
EMP0123,HR,Senior,99996.72,3.3,69.9,2017-06-11 20:58:11.783567136,0.765,High Risk
EMP0124,Finance,Senior,40000.0,0.1,96.3,2017-06-19 04:37:02.044088176,0.574,Stable
EMP0125,Operations,Mid,64143.27,2.1,70.0,2017-06-26 12:15:52.304609216,0.956,High Risk
EMP0126,IT,Manager,72912.31,2.4,70.9,2017-07-03 19:54:42.565130272,0.2,Stable
EMP0127,HR,Junior,89559.48,2.5,90.4,2017-07-11 03:33:32.825651312,0.109,Stable
EMP0128,Operations,Mid,51819.99,4.3,78.0,2017-07-18 11:12:23.086172352,0.854,High Risk
EMP0129,Operations,Mid,72323.36,3.8,91.1,2017-07-25 18:51:13.346693392,0.439,Stable
EMP0130,Sales,Manager,75899.51,4.7,62.6,2017-08-02 02:30:03.607214432,0.847,High Risk
EMP0131,Operations,Junior,53865.9,7.2,79.5,2017-08-09 10:08:53.867735472,0.893,High Risk
EMP0132,Finance,Director,53150.55,8.4,61.3,2017-08-16 17:47:44.128256512,0.062,Stable
EMP0133,HR,Director,77962.37,6.3,62.5,2017-08-24 01:26:34.388777568,0.883,High Risk
EMP0134,Operations,Mid,71089.65,15.6,96.3,2017-08-31 09:05:24.649298608,0.448,Stable
EMP0135,Sales,Junior,90014.33,0.1,65.6,2017-09-07 16:44:14.909819648,0.51,Stable
EMP0136,Finance,Mid,43402.24,1.1,81.3,2017-09-15 00:23:05.170340688,0.627,Stable
EMP0137,Marketing,Senior,64479.55,0.0,76.4,2017-09-22 08:01:55.430861728,0.926,High Risk
EMP0138,HR,Mid,68123.52,5.2,73.9,2017-09-29 15:40:45.691382768,0.019,Stable
EMP0139,Operations,Mid,99415.92,11.4,96.0,2017-10-06 23:19:35.951903808,0.477,Stable
EMP0140,Sales,Director,46787.59,1.4,60.9,2017-10-14 06:58:26.212424848,0.688,Stable
EMP0141,Marketing,Director,82039.56,13.1,86.6,2017-10-21 14:37:16.472945904,0.723,High Risk
EMP0142,Marketing,Director,82582.67,0.3,98.5,2017-10-28 22:16:06.733466944,0.693,Stable
EMP0143,IT,Senior,124391.92,13.6,82.4,2017-11-05 05:54:56.993987984,0.134,Stable
EMP0144,Finance,Director,44787.32,2.2,97.5,2017-11-12 13:33:47.254509024,0.299,Stable
EMP0145,Operations,Junior,55283.0,0.5,62.1,2017-11-19 21:12:37.515030064,0.359,Stable
EMP0146,Sales,Manager,46879.33,3.3,76.8,2017-11-27 04:51:27.775551104,0.804,High Risk
EMP0147,IT,Junior,40000.0,1.5,70.4,2017-12-04 12:30:18.036072144,0.279,Stable
EMP0148,Finance,Junior,127940.61,1.7,89.2,2017-12-11 20:09:08.296593200,0.211,Stable
EMP0149,IT,Director,40000.0,1.8,99.3,2017-12-19 03:47:58.557114240,0.957,High Risk
EMP0150,HR,Manager,50510.84,8.1,70.3,2017-12-26 11:26:48.817635280,0.009,Stable
EMP0151,Finance,Manager,114473.0,3.9,86.2,2018-01-02 19:05:39.078156320,0.998,High Risk
EMP0152,Finance,Manager,40000.0,1.9,67.9,2018-01-10 02:44:29.338677360,0.677,Stable
EMP0153,Operations,Senior,97690.55,4.7,82.6,2018-01-17 10:23:19.599198400,0.828,High Risk
EMP0154,Finance,Director,40000.0,6.3,78.6,2018-01-24 18:02:09.859719440,0.295,Stable
EMP0155,IT,Manager,112400.84,1.6,98.9,2018-02-01 01:41:00.120240480,0.014,Stable
EMP0156,Finance,Senior,40000.0,2.7,84.3,2018-02-08 09:19:50.380761536,0.738,High Risk
EMP0157,Operations,Mid,40000.0,0.6,74.0,2018-02-15 16:58:40.641282576,0.834,High Risk
EMP0158,Operations,Mid,58652.33,1.0,64.6,2018-02-23 00:37:30.901803616,0.74,High Risk
EMP0159,HR,Senior,104154.68,5.7,66.0,2018-03-02 08:16:21.162324656,0.143,Stable
EMP0160,IT,Senior,74071.25,1.0,69.0,2018-03-09 15:55:11.422845696,0.753,High Risk
EMP0161,Marketing,Director,64928.55,3.7,70.0,2018-03-16 23:34:01.683366736,0.769,High Risk
EMP0162,Marketing,Director,115381.33,6.2,94.0,2018-03-24 07:12:51.943887776,0.659,Stable
EMP0163,Finance,Mid,139657.19,0.6,82.4,2018-03-31 14:51:42.204408832,0.766,High Risk
EMP0164,HR,Manager,95167.72,4.2,80.9,2018-04-07 22:30:32.464929872,0.846,High Risk
EMP0165,Sales,Mid,56314.36,1.5,64.6,2018-04-15 06:09:22.725450912,0.614,Stable
EMP0166,Finance,Manager,62455.71,16.5,94.4,2018-04-22 13:48:12.985971952,0.089,Stable
EMP0167,HR,Manager,40000.0,3.3,88.9,2018-04-29 21:27:03.246492992,0.488,Stable
EMP0168,IT,Director,78024.52,8.2,62.7,2018-05-07 05:05:53.507014032,0.078,Stable
EMP0169,IT,Junior,40000.0,4.0,88.3,2018-05-14 12:44:43.767535072,0.408,Stable
EMP0170,IT,Junior,91555.91,0.2,81.7,2018-05-21 20:23:34.028056112,0.407,Stable
EMP0171,IT,Senior,135167.22,5.0,63.3,2018-05-29 04:02:24.288577168,0.066,Stable
EMP0172,IT,Director,96527.75,15.1,78.3,2018-06-05 11:41:14.549098208,0.349,Stable
EMP0173,HR,Manager,60925.57,4.6,79.4,2018-06-12 19:20:04.809619248,0.111,Stable
EMP0174,HR,Junior,90808.12,8.6,66.6,2018-06-20 02:58:55.070140288,0.808,High Risk
EMP0175,Operations,Manager,123616.0,10.8,97.8,2018-06-27 10:37:45.330661328,0.948,High Risk
EMP0176,Marketing,Junior,122114.84,1.3,94.0,2018-07-04 18:16:35.591182368,0.072,Stable
EMP0177,IT,Junior,44887.26,1.2,86.8,2018-07-12 01:55:25.851703408,0.955,High Risk
EMP0178,Sales,Junior,90308.89,4.7,78.5,2018-07-19 09:34:16.112224464,0.523,Stable
EMP0179,HR,Director,70256.96,2.6,76.5,2018-07-26 17:13:06.372745504,0.3,Stable
EMP0180,Sales,Mid,99197.8,9.2,86.0,2018-08-03 00:51:56.633266544,0.077,Stable
EMP0181,Sales,Manager,86508.42,11.5,81.8,2018-08-10 08:30:46.893787584,0.501,Stable
EMP0182,Sales,Director,40000.0,2.2,62.5,2018-08-17 16:09:37.154308624,0.795,High Risk
EMP0183,Operations,Director,64559.61,1.4,80.5,2018-08-24 23:48:27.414829664,0.707,High Risk
EMP0184,HR,Director,80956.75,7.6,92.3,2018-09-01 07:27:17.675350704,0.05,Stable
EMP0185,Sales,Director,40000.0,1.6,78.4,2018-09-08 15:06:07.935871744,0.073,Stable
EMP0186,IT,Director,92430.66,8.6,62.1,2018-09-15 22:44:58.196392800,0.403,Stable
EMP0187,Finance,Senior,40000.0,2.8,91.5,2018-09-23 06:23:48.456913840,0.295,Stable
EMP0188,Sales,Manager,51046.83,5.5,68.1,2018-09-30 14:02:38.717434880,0.232,Stable
EMP0189,Operations,Director,115239.36,0.5,70.3,2018-10-07 21:41:28.977955920,0.281,Stable
EMP0190,HR,Manager,48486.67,4.9,66.6,2018-10-15 05:20:19.238476960,0.803,High Risk
EMP0191,Operations,Senior,92219.01,3.0,73.2,2018-10-22 12:59:09.498998000,0.929,High Risk
EMP0192,Sales,Senior,40000.0,4.4,90.3,2018-10-29 20:37:59.759519040,0.405,Stable
EMP0193,HR,Manager,137439.44,0.9,80.8,2018-11-06 04:16:50.020040096,0.906,High Risk
EMP0194,Finance,Junior,65863.39,6.7,68.2,2018-11-13 11:55:40.280561136,0.321,Stable
EMP0195,Sales,Mid,77859.62,9.9,95.1,2018-11-20 19:34:30.541082176,0.476,Stable
EMP0196,Operations,Junior,80371.1,1.2,95.2,2018-11-28 03:13:20.801603216,0.226,Stable
EMP0197,Marketing,Junior,93227.01,0.5,94.8,2018-12-05 10:52:11.062124256,0.64,Stable
EMP0198,IT,Junior,40000.0,0.1,69.6,2018-12-12 18:31:01.322645296,0.979,High Risk
EMP0199,Operations,Director,74839.91,5.1,78.0,2018-12-20 02:09:51.583166336,0.603,Stable
EMP0200,HR,Senior,55236.94,4.7,99.4,2018-12-27 09:48:41.843687376,0.358,Stable
EMP0201,Sales,Junior,40000.0,4.0,90.9,2019-01-03 17:27:32.104208432,0.648,Stable
EMP0202,IT,Senior,104613.67,1.3,61.1,2019-01-11 01:06:22.364729472,0.123,Stable
EMP0203,Sales,Manager,64434.81,2.5,62.6,2019-01-18 08:45:12.625250512,0.889,High Risk
EMP0204,HR,Mid,82275.61,4.5,78.6,2019-01-25 16:24:02.885771552,0.503,Stable
EMP0205,Sales,Manager,80395.36,3.4,96.4,2019-02-02 00:02:53.146292592,0.449,Stable
EMP0206,Marketing,Manager,64954.43,22.0,81.5,2019-02-09 07:41:43.406813632,0.586,Stable
EMP0207,IT,Director,134250.82,0.7,79.9,2019-02-16 15:20:33.667334672,0.625,Stable
EMP0208,IT,Mid,73582.06,5.9,64.2,2019-02-23 22:59:23.927855712,0.072,Stable
EMP0209,HR,Manager,40000.0,2.6,86.3,2019-03-03 06:38:14.188376768,0.683,Stable
EMP0210,Marketing,Manager,62988.56,2.8,92.9,2019-03-10 14:17:04.448897808,0.242,Stable
EMP0211,Operations,Mid,89992.13,6.3,75.2,2019-03-17 21:55:54.709418848,0.714,High Risk
EMP0212,Sales,Mid,90977.85,5.9,91.0,2019-03-25 05:34:44.969939888,0.823,High Risk
EMP0213,Finance,Manager,42366.57,23.7,98.6,2019-04-01 13:13:35.230460928,0.804,High Risk
EMP0214,Sales,Mid,102884.48,0.7,68.2,2019-04-08 20:52:25.490981968,0.553,Stable
EMP0215,Sales,Manager,40000.0,0.5,80.9,2019-04-16 04:31:15.751503008,0.52,Stable
EMP0216,Operations,Manager,109324.06,6.4,71.5,2019-04-23 12:10:06.012024064,0.143,Stable
EMP0217,Sales,Director,40000.0,4.3,91.7,2019-04-30 19:48:56.272545104,0.775,High Risk
EMP0218,Marketing,Junior,68212.64,1.6,83.1,2019-05-08 03:27:46.533066144,0.271,Stable
EMP0219,Marketing,Manager,106937.06,0.4,85.4,2019-05-15 11:06:36.793587184,0.497,Stable
EMP0220,IT,Senior,78588.17,0.4,91.9,2019-05-22 18:45:27.054108224,0.284,Stable
EMP0221,HR,Junior,99500.96,11.2,75.8,2019-05-30 02:24:17.314629264,0.134,Stable
EMP0222,Finance,Junior,93559.86,1.1,96.6,2019-06-06 10:03:07.575150304,0.63,Stable
EMP0223,Sales,Junior,113588.06,2.0,81.3,2019-06-13 17:41:57.835671344,0.054,Stable
EMP0224,Sales,Director,106866.3,1.3,66.3,2019-06-21 01:20:48.096192400,0.749,High Risk
EMP0225,Operations,Manager,61387.67,2.2,87.8,2019-06-28 08:59:38.356713440,0.318,Stable
EMP0226,HR,Director,93988.25,0.4,91.7,2019-07-05 16:38:28.617234480,0.0,Stable
EMP0227,Marketing,Manager,40000.0,3.7,72.7,2019-07-13 00:17:18.877755520,0.511,Stable
EMP0228,Finance,Director,73262.85,0.4,94.3,2019-07-20 07:56:09.138276560,0.047,Stable
EMP0229,IT,Director,99554.54,8.1,96.2,2019-07-27 15:34:59.398797600,0.276,Stable
EMP0230,Marketing,Senior,79015.43,1.3,71.1,2019-08-03 23:13:49.659318656,0.707,High Risk
EMP0231,HR,Director,88399.19,3.9,99.3,2019-08-11 06:52:39.919839680,0.063,Stable
EMP0232,IT,Mid,68601.83,10.6,65.6,2019-08-18 14:31:30.180360736,0.839,High Risk
EMP0233,Operations,Senior,108872.08,5.3,68.1,2019-08-25 22:10:20.440881760,0.004,Stable
EMP0234,Operations,Director,72587.53,3.8,67.4,2019-09-02 05:49:10.701402816,0.247,Stable
EMP0235,Sales,Junior,61036.49,2.0,95.8,2019-09-09 13:28:00.961923872,0.741,High Risk
EMP0236,HR,Mid,101595.52,2.0,86.2,2019-09-16 21:06:51.222444896,0.316,Stable
EMP0237,Finance,Mid,40000.0,5.5,66.1,2019-09-24 04:45:41.482965952,0.102,Stable
EMP0238,IT,Mid,90031.0,25.7,77.6,2019-10-01 12:24:31.743486976,0.36,Stable
EMP0239,Marketing,Senior,43725.45,5.4,84.6,2019-10-08 20:03:22.004008032,0.27,Stable
EMP0240,HR,Director,113337.8,4.1,63.3,2019-10-16 03:42:12.264529056,0.843,High Risk
EMP0241,HR,Director,67169.18,6.6,95.3,2019-10-23 11:21:02.525050112,0.313,Stable
EMP0242,Operations,Junior,79049.54,3.1,92.1,2019-10-30 18:59:52.785571168,0.789,High Risk
EMP0243,Sales,Junior,87377.11,0.3,80.2,2019-11-07 02:38:43.046092192,0.892,High Risk
EMP0244,Sales,Mid,40000.0,4.1,98.7,2019-11-14 10:17:33.306613248,0.434,Stable
EMP0245,IT,Junior,55482.45,15.8,76.7,2019-11-21 17:56:23.567134272,0.91,High Risk
EMP0246,Operations,Senior,106306.38,1.0,99.4,2019-11-29 01:35:13.827655328,0.377,Stable
EMP0247,HR,Director,101032.95,5.9,86.7,2019-12-06 09:14:04.088176352,0.964,High Risk
EMP0248,Finance,Mid,83490.97,1.1,85.4,2019-12-13 16:52:54.348697408,0.089,Stable
EMP0249,Operations,Junior,40000.0,3.8,66.6,2019-12-21 00:31:44.609218432,0.687,Stable
